"","rowid","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","Q3","Q4","Q5","Q6","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q18","Q19","Q20","Q21","Q22","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q26","Q27","Q28","Q29","Q30","Q31","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q33","Q34","Q35","grad_year","practice_type","Q3_lic_pract","grad_year_cat","AABP","AASV","AASRP","AVMA","AAAP","AVC","StateVMA","Foreign","AABP_AVC","Beef_Cattle","Dairy_Cattle","Swine","Sheep","Chickens","Goats","Turkeys","beef_dairy","sheep_goat","chicken_turkey","Q7_cost","Q7_efficacy_safety","Q7_applied_practically","Q7_regulatory_issues","Q7_human_resistance","Q7_animal_resistance","Q7_client_preference","Q7_human_importance","Q9_AST_before","Q10_AST_after","Q11_AST_monitor_disease","Q12_AST_monitor_foodborne","Q13_monitor_path_disease","Q14_monitor_zoo_path","Q15_cost","Q15_time","Q15_not_useful","Q15_unsure_application","Q17_spectrum","Q17_compare_efficacy","Q17_combined_therapy","Q17_AST","Q17_resist_select","Q17_ancillary_therapy","Q17_post_treat_interval","Q17_duration_therapy","Q17_treatment_outcome","certificate_program","Q21_antimicrobial_discontinue_old_client","Q22_risk_relation_morbidity_spike_old_client","Q23_risk_relation_morbidity_spike_new_client","Q24_repro_perform","Q24_econ_perform","Q24_disease_incid","Q24_amu","Q24_treat_outcome","Q25_repro_perform","Q25_econ_perform","Q25_disease_incid","Q25_amu","Q25_treat_outcome","Q26_expand_routine_analysis","Q27_not_applicable","Q27_lack_data","Q27_unwilling_compensate","Q27_unwilling_share_data","Q27_few_animals","Q27_unsure_returns","Q27_not_priority","Q27_no_time","Q28_not_applicable","Q28_lack_data","Q28_unsure_returns","Q28_no_time","Q31_confidential_report_amu","Q32_AVMA_principles","Q32_AVMA_checklist","Q32_AABP_key_elements","Q32_joint_AABP_AVC","Q32_AASV_guidelines","Q32_AASRP_guidelines","Q32_AAAP_guidelines","Q33_need_amu_info","Q34_FARAD","Q34_textbook","Q34_web_search","Q34_literature_search","Q34_CE_notes","Q34_vet_school_notes","Q34_vet_assoc","Q34_pharma_company","Q34_university_contact","Q34_product_label","Q34_reg_doc","Q34_colleague","Q34_listserv","Q34_social_media"
"363",419,"6/30/2021 3:11","6/30/2021 3:45","IP Address","*******","100","2050","TRUE","6/30/2021 3:45","R_2feBNa40oKPzU9n","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2008","No","None of these accurately describes my practice","AABP - American Association of Bovine Practitioners","Dairy cattle","A very minor component","A major component of my decision process","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","A very minor component","A major component of my decision process",NA,"Often (> 20% of cases)","Occasionally (6-15% of cases)","Often (> 20% of clients)","Rarely (1-5% of clients)",NA,NA,"Turnaround time","Result of the test does not apply to the case in question because treatment needs to start before I have the result","Confident","Confident","Confident","Confident","Confident","Confident","Low confidence","Confident","Confident","Yes, up to 40 hours commitment","Significant","Moderate","Willing without hesitation","Moderate risk","High risk","> 50%","26-50%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client is unwilling to share data,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Definitely yes","I am aware of the document but have not read it","I am aware of the document but have not read it","I was unaware of the document","I was unaware of the document",NA,NA,NA,"None or rarely","A textbook, drug handbook or other hard copy resource,A web search,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label",NA,2008,"None","No","2000-2010",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Minor","Major","Important","Major","Major","Major","Minor","Major","Often","Occasionally","Often","Rarely",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Confident","Confident","Confident","Confident","Low Confidence","Confident","Confident","40 hrs","Willing without hesitation","Moderate risk","High risk","> 50%","26-50%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","have not read","have not read","unaware","unaware","Unknown","Unknown","Unknown","None",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"364",421,"6/30/2021 10:46","6/30/2021 10:57","IP Address","*******","100","618","TRUE","6/30/2021 10:57","R_2any61SQmfNmvMD","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1996","Yes","Private practice that is primarily food animal","AASV - American Association of Swine Veterinarians,AVMA - American Veterinary Medical Association","Swine","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","A very minor component","Important, but not a major component","A very minor component","Important, but not a major component",NA,"Occasionally (6-15% of cases)","Often (> 20% of cases)","Often (> 20% of clients)","Rarely (1-5% of clients)",NA,NA,"Turnaround time",NA,"Confident","Confident","Confident","Confident","Low confidence","Confident","Very confident","Confident","Confident","Yes, up to 20 hours commitment","Significant","Moderate","Willing without hesitation","Slight risk","Slight risk","> 50%","26-50%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes","The client doesn't have the time or this process is not a priority",NA,NA,NA,"Possibly","I read it: no practical guidance","I read it: no practical guidance",NA,NA,"I read it: limited practical guidance",NA,NA,"1-2 times","Food Animal Residue Avoidance Databank (FARAD),Veterinary association guidance,A product label",NA,1996,"Food Animal Practice","Yes","1987-1999",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Important","Major","Major","Major","Minor","Important","Minor","Important","Occasionally","Often","Often","Rarely",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Confident","Confident","Low Confidence","Confident","Very confident","Confident","Confident","20 hrs","Willing without hesitation","Slight risk","Slight risk","> 50%","26-50%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","no practical guidance","no practical guidance","Unknown","Unknown","limited practical guidance","Unknown","Unknown","1-2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"365",422,"6/30/2021 12:13","6/30/2021 12:47","IP Address","*******","100","2042","TRUE","6/30/2021 12:47","R_1mPfbx2DZ8ksISK","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1970","Yes","Owner or Staff veterinarian within a food animal production system","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle","A major component of my decision process","A major component of my decision process","A major component of my decision process","A major component of my decision process","A very minor component","A very minor component","A very minor component","Important, but not a major component","Length of time the drug holds therapeutic blood levels in treated animal. ie. not having to re-treat at short intervals and get the animal into restraint and stress it.","Never","Rarely (1-5% of cases)",NA,NA,"No","No","Cost,Turnaround time,I am unsure about the correct application of the results","Obtainng appropriate samples to test.","Confident","Confident","Confident","Low confidence","Low confidence","Low confidence","Confident","Confident","Confident","No","Slight","Slight",NA,NA,NA,NA,NA,NA,NA,NA,"I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data",NA,NA,"Lack of appropriate data system for collection and reporting",NA,NA,"Possibly","I was unaware of the document","I was unaware of the document","I was unaware of the document","I read it, cannot recall contents",NA,NA,NA,"1-2 times","Continuing education proceedings, notes, or presentations,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague,An organization listserv",NA,1970,"Staff Vet","Yes","<1987",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Major","Major","Major","Major","Minor","Minor","Minor","Important","Never","Rarely","Unknown","Unknown","No","No",TRUE,TRUE,FALSE,TRUE,"Confident","Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Confident","Confident","Confident","No","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Possibly","unaware","unaware","unaware","cannot recall content","Unknown","Unknown","Unknown","1-2",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"366",423,"6/30/2021 13:53","6/30/2021 14:11","IP Address","*******","100","1078","TRUE","6/30/2021 14:11","R_2CKDv1i5sZdEqrj","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2008","Yes","Private practice that is primarily food animal","AVC - Academy of Veterinary Consultants,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle","Important, but not a major component","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","Not considered",NA,"Rarely (1-5% of cases)","Rarely (1-5% of cases)","Rarely (1-5% of clients)","Rarely (1-5% of clients)",NA,NA,"Turnaround time",NA,"Confident","Confident","Low confidence","Low confidence","Low confidence","Confident","Confident","Confident","Confident","Yes, up to 20 hours commitment","Moderate","None","Willing without hesitation","Moderate risk","Slight risk","> 50%","26-50%","> 50%","26-50%","> 50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client is unwilling to share data,The client doesn't have the time or this process is not a priority,I don't have the time",NA,NA,NA,"Definitely yes","I am aware of the document but have not read it","I read it, cannot recall contents","I was unaware of the document","I read it: no practical guidance",NA,NA,NA,"1-2 times","A textbook, drug handbook or other hard copy resource,A web search,Continuing education proceedings, notes, or presentations,Vet School notes,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague",NA,2008,"Food Animal Practice","Yes","2000-2010",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Major","Important","Major","Important","Major","Important","None","Rarely","Rarely","Rarely","Rarely",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Confident","Confident","Confident","Confident","20 hrs","Willing without hesitation","Moderate risk","Slight risk","> 50%","26-50%","> 50%","26-50%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","have not read","cannot recall content","unaware","no practical guidance","Unknown","Unknown","Unknown","1-2",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"367",424,"7/1/2021 13:09","7/1/2021 13:29","IP Address","*******","100","1163","TRUE","7/1/2021 13:29","R_1KiIAPwhB4eonij","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1994","Yes","A major component of my private practice is serving food animal clients as a consultant.","AASV - American Association of Swine Veterinarians,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Swine,Sheep","A very minor component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","Important, but not a major component","Important, but not a major component","A major component of my decision process",NA,"Often (> 20% of cases)","Often (> 20% of cases)","Occasionally (6-15% of clients)","Never",NA,NA,"I do not perceive any of these as barriers",NA,"Confident","Confident","Confident","Confident","Low confidence","Low confidence","Low confidence","Low confidence","Confident","Yes, up to 20 hours commitment","Moderate","None","Willing but concerned about possible negative consequences","Slight risk","Moderate risk","> 50%","> 50%","> 50%","Some, 6-25%","Some, 6-25%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client number of animals is too small to create value,I am unsure as to how to return value to the client,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Definitely yes","I am aware of the document but have not read it","I read it, cannot recall contents",NA,NA,"I read it:  provided practical guidance","I read it, cannot recall contents",NA,"1-2 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,Continuing education proceedings, notes, or presentations,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,Asking a colleague","diagnostic lab data on antimicrobial susceptibility trends has helped guide decisions to avoid resistance.",1994,"Consultant","Yes","1987-1999",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Minor","Major","Major","Major","Important","Important","Important","Major","Often","Often","Occasionally","Never",NA,NA,FALSE,FALSE,FALSE,FALSE,"Confident","Confident","Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Low Confidence","Confident","20 hrs","Willing but concerned","Slight risk","Moderate risk","> 50%","> 50%","> 50%","6-25%","6-25%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","have not read","cannot recall content","Unknown","Unknown","provided practical guidance","cannot recall content","Unknown","1-2",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"368",432,"7/2/2021 17:46","7/2/2021 18:02","IP Address","*******","100","978","TRUE","7/2/2021 18:02","R_2ccMxdAaPdrqCth","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2009","Yes","Food animal practice at an academic institution","AASV - American Association of Swine Veterinarians,AVMA - American Veterinary Medical Association","Swine","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","A very minor component",NA,"Rarely (1-5% of cases)","Often (> 20% of cases)","Often (> 20% of clients)","Occasionally (6-15% of clients)",NA,NA,"I am unsure about the correct application of the results","evidence in the form of experimental data doesn't always exist for the population-disease that needs treating; licensing and CLSI data limited in relevance to real-world cases","Very confident","Very confident","Confident","Very confident","Low confidence","Low confidence","Confident","Low confidence","Confident","Yes, up to 20 hours commitment","Significant","Slight","Willing without hesitation","Slight risk","High risk","None","None","A few, < 5%","None","A few, < 5%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client number of animals is too small to create value",NA,"My clients are other veterinarians who are not often interested in discussing treatment with me since I am in a diagnostic lab.",NA,"Possibly","I read it: limited practical guidance","I read it, cannot recall contents",NA,NA,"I read it:  provided practical guidance",NA,NA,NA,"Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Contacting a pharmaceutical company representative,A product label,Asking a colleague","The very small (and possibly shrinking) antimicrobial toolbox for food animal practitioners is a paramount concern; we have to learn to do more with less.",2009,"Academia","Yes","2000-2010",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Important","Major","Major","Major","Important","Major","Important","Minor","Rarely","Often","Often","Occasionally",NA,NA,FALSE,FALSE,FALSE,TRUE,"Very confident","Very confident","Confident","Very confident","Low Confidence","Low Confidence","Confident","Low Confidence","Confident","20 hrs","Willing without hesitation","Slight risk","High risk","None","None","< 5%","None","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","limited practical guidance","cannot recall content","Unknown","Unknown","provided practical guidance","Unknown","Unknown","Unknown",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"369",436,"7/5/2021 10:30","7/5/2021 10:40","IP Address","*******","100","586","TRUE","7/5/2021 10:40","R_1gRyDak8P8QJWw3","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1998","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle,Swine,Sheep,Goats","A major component of my decision process","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","Important, but not a major component","Important, but not a major component","Important, but not a major component",NA,"Rarely (1-5% of cases)","Rarely (1-5% of cases)","Rarely (1-5% of clients)","Never",NA,NA,"Cost,Turnaround time,I don't think the results are useful information,I am unsure about the correct application of the results","results can be difficult to interpret in vivo.","Very confident","Very confident","Confident","Low confidence","Confident","Very confident","Confident","Very confident","Very confident","Yes, up to 10 hours commitment","Significant","Significant","Willing but concerned about possible negative consequences","Moderate risk","High risk","> 50%","A few, < 5%","Some, 6-25%","26-50%","Some, 6-25%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Possibly","I read it, cannot recall contents","I read it, cannot recall contents","I read it, cannot recall contents","I read it, cannot recall contents","I am aware of the document but have not read it","I am aware of the document but have not read it",NA,"More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague",NA,1998,"Food Animal Practice","Yes","1987-1999",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Major","Major","Important","Major","Important","Important","Important","Important","Rarely","Rarely","Rarely","Never",NA,NA,TRUE,TRUE,TRUE,TRUE,"Very confident","Very confident","Confident","Low Confidence","Confident","Very confident","Confident","Very confident","Very confident","10 hrs","Willing but concerned","Moderate risk","High risk","> 50%","< 5%","6-25%","26-50%","6-25%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","cannot recall content","cannot recall content","cannot recall content","cannot recall content","have not read","have not read","Unknown",">5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"370",438,"7/5/2021 15:27","7/5/2021 15:32","IP Address","*******","100","276","TRUE","7/5/2021 15:32","R_3QSDNOmXDxeLFoe","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2016","Yes","Private practice that is primarily food animal","AVC - Academy of Veterinary Consultants","Beef cattle,Swine,Sheep,Goats","A major component of my decision process","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","A very minor component","A major component of my decision process","Important, but not a major component",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Occasionally (6-15% of clients)","Rarely (1-5% of clients)",NA,NA,"Turnaround time",NA,"Confident","Confident","Low confidence","Low confidence","Low confidence","Confident","Low confidence","Low confidence","Confident","Yes, up to 20 hours commitment","Moderate","Slight","Unwilling","Moderate risk","Slight risk","> 50%","26-50%","26-50%","26-50%","> 50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,I am unsure as to how to return value to the client,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Possibly","I was unaware of the document","I was unaware of the document","I was unaware of the document","I was unaware of the document","I was unaware of the document","I was unaware of the document",NA,"3-5 times","Vet School notes,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague",NA,2016,"Food Animal Practice","Yes","2011-2016",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Major","Major","Major","Major","Important","Minor","Major","Important","Rarely","Occasionally","Occasionally","Rarely",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Confident","Low Confidence","Low Confidence","Confident","20 hrs","Unwilling","Moderate risk","Slight risk","> 50%","26-50%","26-50%","26-50%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","unaware","unaware","unaware","unaware","unaware","unaware","Unknown","3-5",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"371",439,"7/6/2021 6:02","7/6/2021 6:11","IP Address","*******","100","537","TRUE","7/6/2021 6:11","R_2TFwtxlHBqihdin","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2009","Yes","Private practice that is primarily food animal","AASV - American Association of Swine Veterinarians,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Swine","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","A very minor component","Important, but not a major component","A very minor component","A very minor component","Inventory available at the farm.","Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Never","Never",NA,NA,"Turnaround time,I don't think the results are useful information",NA,"Confident","Low confidence","Low confidence","Confident","Low confidence","Confident","Very confident","Confident","Confident","Yes, up to 10 hours commitment","Moderate","Slight","Willing but concerned about possible negative consequences","Moderate risk","High risk","> 50%","Some, 6-25%","> 50%","A few, < 5%","> 50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to share data",NA,NA,NA,"Possibly","I am aware of the document but have not read it","I was unaware of the document",NA,NA,"I am aware of the document but have not read it",NA,NA,"More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A web search,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Contacting a pharmaceutical company representative,A product label,Asking a colleague",NA,2009,"Food Animal Practice","Yes","2000-2010",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Important","Major","Major","Major","Minor","Important","Minor","Minor","Rarely","Occasionally","Never","Never",NA,NA,FALSE,TRUE,TRUE,FALSE,"Confident","Low Confidence","Low Confidence","Confident","Low Confidence","Confident","Very confident","Confident","Confident","10 hrs","Willing but concerned","Moderate risk","High risk","> 50%","6-25%","> 50%","< 5%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","have not read","unaware","Unknown","Unknown","have not read","Unknown","Unknown",">5",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"372",441,"7/6/2021 9:57","7/6/2021 10:08","IP Address","*******","100","672","TRUE","7/6/2021 10:08","R_d1ozEH32RGpbwMp","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2016","Yes","Food animal practice at an academic institution","AASV - American Association of Swine Veterinarians,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Swine","A very minor component","A major component of my decision process","Important, but not a major component","A major component of my decision process","Important, but not a major component","Important, but not a major component","Not considered","A very minor component",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Never","Never",NA,NA,"I am unsure about the correct application of the results",NA,"Confident","Confident","Low confidence","Low confidence","Low confidence","Low confidence","Confident","Confident","Confident","Yes, up to 20 hours commitment","Moderate","Moderate","Willing but concerned about possible negative consequences","Moderate risk","High risk","> 50%","None","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction",NA,NA,NA,"Definitely yes","I was unaware of the document","I was unaware of the document",NA,NA,"I read it, cannot recall contents",NA,NA,"1-2 times","A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Contacting a pharmaceutical company representative,A product label,Regulatory documents such as from the FDA Center for Veterinary Medicine,Asking a colleague",NA,2016,"Academia","Yes","2011-2016",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Minor","Major","Important","Major","Important","Important","None","Minor","Rarely","Occasionally","Never","Never",NA,NA,FALSE,FALSE,FALSE,TRUE,"Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Low Confidence","Confident","Confident","Confident","20 hrs","Willing but concerned","Moderate risk","High risk","> 50%","None","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","unaware","unaware","Unknown","Unknown","cannot recall content","Unknown","Unknown","1-2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
